"bias_ab","ese_ab","mbse_ab","cp_ab","bias_bc","ese_bc","mbse_bc","cp_bc","n","method"
0.0118,0.3102,0.286,0.908,-0.0038,0.3261,0.2872,0.9,"5","No correction"
0.0118,0.3102,0.2962,0.917,-0.0038,0.3261,0.2974,0.913,"5","KC-correction"
0.0118,0.3102,0.3067,0.926,-0.0038,0.3261,0.308,0.924,"5","MD-correction"
0.0044,0.2361,0.2074,0.909,0.0037,0.2468,0.2102,0.89,"10","No correction"
0.0044,0.2361,0.211,0.916,0.0037,0.2468,0.2139,0.898,"10","KC-correction"
0.0044,0.2361,0.2147,0.921,0.0037,0.2468,0.2176,0.902,"10","MD-correction"
-2e-04,0.1925,0.1713,0.905,-0.001,0.1932,0.1714,0.914,"15","No correction"
-2e-04,0.1925,0.1732,0.907,-0.001,0.1932,0.1733,0.918,"15","KC-correction"
-2e-04,0.1925,0.1752,0.914,-0.001,0.1932,0.1753,0.922,"15","MD-correction"
-0.0018,0.1646,0.1484,0.911,-0.0012,0.1647,0.1487,0.922,"20","No correction"
-0.0018,0.1646,0.1496,0.913,-0.0012,0.1647,0.15,0.927,"20","KC-correction"
-0.0018,0.1646,0.1509,0.916,-0.0012,0.1647,0.1512,0.93,"20","MD-correction"
8e-04,0.1428,0.1333,0.937,-3e-04,0.1456,0.1332,0.92,"25","No correction"
8e-04,0.1428,0.1342,0.939,-3e-04,0.1456,0.1341,0.922,"25","KC-correction"
8e-04,0.1428,0.1351,0.94,-3e-04,0.1456,0.135,0.926,"25","MD-correction"
0.0012,0.103,0.0945,0.93,0.0025,0.1059,0.0946,0.924,"50","No correction"
0.0012,0.103,0.0948,0.931,0.0025,0.1059,0.0949,0.926,"50","KC-correction"
0.0012,0.103,0.0951,0.931,0.0025,0.1059,0.0952,0.927,"50","MD-correction"
